CO2,CO,PM10,PM25,PM100,NO2,TIME
471.88,12.60,3,4,4,77.61,0
471.88,12.80,3,4,4,76.17,12
471.88,12.80,3,4,5,77.40,24
471.88,12.73,3,4,5,79.69,36
471.88,12.67,3,4,5,79.69,48
471.88,12.60,3,4,5,79.90,60
456.25,12.47,3,4,5,79.69,72
471.88,12.53,3,4,4,79.69,84
471.88,12.40,3,4,4,79.69,96
534.38,12.40,3,4,5,79.90,108
487.50,12.47,3,5,5,76.37,120
456.25,12.47,3,5,5,79.69,132
456.25,12.47,3,5,6,79.69,144
456.25,12.47,3,5,6,79.48,156
471.88,12.40,3,4,7,79.27,168
471.88,12.34,3,5,7,79.48,180
456.25,12.40,3,5,7,79.48,192
471.88,12.34,2,5,7,78.85,204
518.75,12.27,2,5,7,79.27,216
471.88,12.27,2,5,7,76.78,228
471.88,12.27,2,5,6,78.65,240
487.50,12.27,2,4,6,78.85,252
487.50,12.15,2,4,6,78.65,264
487.50,12.27,2,4,5,78.44,276
487.50,12.27,1,3,5,78.44,288
487.50,12.34,1,3,5,78.65,300
487.50,12.27,2,4,6,78.44,312
550.00,12.21,2,4,6,77.81,324
518.75,12.34,2,4,6,76.58,336
487.50,12.27,2,4,6,77.81,348
487.50,12.34,2,4,6,78.44,360
503.13,12.15,2,4,5,78.02,372
487.50,12.15,1,3,5,78.44,384
487.50,12.21,3,4,6,78.65,396
487.50,12.21,2,4,5,78.02,408
487.50,12.15,1,3,4,78.23,420
534.38,12.08,2,3,4,78.23,432
487.50,12.15,2,3,4,76.99,444
487.50,12.08,2,3,5,78.44,456
487.50,12.15,2,3,5,77.40,468
487.50,12.27,2,3,4,76.37,480
456.25,12.34,2,3,4,76.58,492
503.13,12.47,1,3,4,75.15,504
487.50,12.53,1,3,4,75.76,516
503.13,12.47,1,3,4,76.58,528
565.63,12.34,1,3,4,75.96,540
503.13,12.40,1,3,3,73.53,552
518.75,12.53,1,3,3,75.15,564
518.75,12.60,1,3,4,75.96,576
503.13,12.47,1,3,4,76.37,588
